masterID,masterTime,mastermag,masterlat,masterlon,masterdep,egfID,egfTime,egfmag,egflat,egflon,egfdep,magdif,s,s_fit_a,s_fit_b,s_fit_c,s_fc_std,s_fc_mean,p,p_fit_a,p_fit_b,p_fit_c,p_fc_std,p_fc_mean
nm60241501,2018-10-03T19:32:27.890Z,1.92,36.2688333,-89.4475,6.4,nm60240826,2018-09-20T17:36:17.950Z,1.23,36.2698333,-89.448,6.12,0.69,1,7.06743560198963,2.96601414589045,1.85734403121542,0.167197924371037,1.81743337414251,3,15.88347179835,2.24045187591626,1.28983737901151,1.09492515788671,1.49693996536602
nm60241501,2018-10-03T19:32:27.890Z,1.92,36.2688333,-89.4475,6.4,nm60212797,2018-08-30T13:15:53.110Z,1.39,36.2693333,-89.4468333,6.34,0.53,3,14.2214908800886,5.74800860326333,4.3046941300078,0.778373044866017,3.9825184530656,2,19.2300869846628,1.84229125348847,1.34764690660981,0.557159323280825,1.28424055898851
nm60241501,2018-10-03T19:32:27.890Z,1.92,36.2688333,-89.4475,6.4,nm60212757,2018-08-29T21:31:53.060Z,1.4,36.271,-89.4471667,6.29,0.52,7,7.48999902790235,2.65850020325881,1.64380286518526,0.055492117970366,1.67664194964266,3,9.18218767950243,3.79465141868903,1.88046036838051,0.082284540082923,1.89889747462
nm60241501,2018-10-03T19:32:27.890Z,1.92,36.2688333,-89.4475,6.4,nm60062528,2018-08-27T07:36:58.740Z,1.29,36.2693333,-89.4468333,6.31,0.63,3,21.2296621985163,3.48302452398227,2.08333518704381,0.113801919137578,2.04993418107436,0,0,0,0,0,0
nm60241501,2018-10-03T19:32:27.890Z,1.92,36.2688333,-89.4475,6.4,nm60062533,2018-08-26T13:36:24.500Z,1.3,36.27,-89.4486667,6.54,0.62,3,12.3416002383055,4.31082906484223,2.2715269249365,0.115088447583013,2.25649978806596,2,13.207492983772,2.89031709940908,3.41881795449012,0.261833446237985,3.59215695238752
nm60241346,2018-10-02T02:46:09.840Z,1.73,36.2716667,-89.4508333,6.69,nm60066938,2018-10-22T12:08:45.160Z,1.04,36.2726667,-89.4513333,6.96,0.69,0,0,0,0,0,0,0,0,0,0,0,0
nm60241346,2018-10-02T02:46:09.840Z,1.73,36.2716667,-89.4508333,6.69,nm60066928,2018-10-22T11:40:03.460Z,1.21,36.2703333,-89.4476667,6.59,0.52,0,0,0,0,0,0,1,1.54381544214828,7.06960170089748,9.13805266163191,2.89290428238905,10.2354155876711
nm60241346,2018-10-02T02:46:09.840Z,1.73,36.2716667,-89.4508333,6.69,nm60064423,2018-09-18T08:20:41.590Z,1.16,36.2708333,-89.4523333,6.5,0.57,1,3.61379926417263,0.500000000576017,0.683189919707542,0.01769245396281,0.682898169495586,0,0,0,0,0,0
nm60241346,2018-10-02T02:46:09.840Z,1.73,36.2716667,-89.4508333,6.69,nm60213502,2018-09-10T13:05:55.540Z,1.16,36.272,-89.4496667,6.72,0.57,2,2.72666609694517,4.52263111957885,5.32244701382298,0.581547618451515,5.67561410796276,0,0,0,0,0,0
nm60241346,2018-10-02T02:46:09.840Z,1.73,36.2716667,-89.4508333,6.69,nm60061948,2018-08-21T13:14:21.550Z,1.19,36.2723333,-89.4516667,6.78,0.54,2,2.73609144645923,99.999999999964,17.9821752013333,3.79201447867141,15.443159505058,4,2.80745561157138,99.9999999999674,19.2874187734118,0.564014361906335,19.358711506923
nm60241346,2018-10-02T02:46:09.840Z,1.73,36.2716667,-89.4508333,6.69,nm60061928,2018-08-21T09:34:49.610Z,1.22,36.2723333,-89.45,6.67,0.51,4,4.73633555821143,22.926723229979,19.9999999998044,6.27083176930668,17.7184999996388,3,4.74536863822986,23.3908871364339,19.9999999999969,7.54470992413231,15.7865756020584
nm60241346,2018-10-02T02:46:09.840Z,1.73,36.2716667,-89.4508333,6.69,nm60061933,2018-08-21T03:28:11.200Z,1.17,36.2715,-89.4466667,6.46,0.56,3,3.21142957610497,1.02132626517307,1.24506509633423,9.25929403747016,9.03531878382614,2,5.04788821955037,29.6587575724244,19.9999999986838,8.57607090525208,14.1930762823663
nm60241346,2018-10-02T02:46:09.840Z,1.73,36.2716667,-89.4508333,6.69,nm60211817,2018-08-20T16:49:52.820Z,1.2,36.2723333,-89.4486667,6.98,0.53,3,2.28290744249655,8.68711910614654,9.29749776159663,3.02524976896788,8.89249385744992,2,2.60049943093751,29.8238589873388,19.9999999996812,1.84248952541023,19.8245019881076
nm60240721,2018-09-18T19:15:41.020Z,1.63,36.2706667,-89.4468333,6.11,nm60061823,2018-08-20T01:52:14.840Z,1.09,36.2711667,-89.4461667,5.97,0.54,2,15.4430029841657,99.9999999999996,19.928536498461,2.58028194138858,19.2956156753211,1,15.5788092377689,99.9999999999994,12.950625925002,1.01747112587519,12.8386307128005
nm60240596,2018-09-16T19:21:23.820Z,2.07,36.2698333,-89.4476667,6.49,nm60070123,2018-12-03T01:59:19.370Z,1.27,36.2695,-89.4481667,6.31,0.8,5,12.7991984306667,22.3627675302725,6.91436494640473,0.274418379940295,6.94149298262289,2,16.6411042020761,99.999999999973,11.8621980811583,0.41162543385642,11.8790403290837
nm60240596,2018-09-16T19:21:23.820Z,2.07,36.2698333,-89.4476667,6.49,nm60245426,2018-11-23T10:13:03.100Z,1.53,36.268,-89.4483333,6.35,0.54,5,32.9808932158184,0.798717927335545,0.500000000002167,0.616706408965134,0.520223250612658,6,14.6284523410622,3.57895211021328,2.74175768211196,0.214704899872285,2.76103024334769
nm60240596,2018-09-16T19:21:23.820Z,2.07,36.2698333,-89.4476667,6.49,nm60218397,2018-11-11T11:00:14.070Z,1.46,36.2701667,-89.447,6.32,0.61,8,9.41250268063931,14.8242543648342,7.3497756320043,0.373662819564077,7.31480225847076,6,7.46938445332053,0.500000920868194,0.54353452697515,8.05729753169079,9.38328088364186
nm60240596,2018-09-16T19:21:23.820Z,2.07,36.2698333,-89.4476667,6.49,nm60216647,2018-10-22T14:44:58.960Z,1.22,36.2703333,-89.4486667,6.27,0.85,4,12.4753525532214,53.2276067453172,8.41014685347822,0.275466899962427,8.50138177895374,2,13.738312716059,30.3085735682193,6.67003132986254,0.35891417625116,6.53114890308924
nm60240596,2018-09-16T19:21:23.820Z,2.07,36.2698333,-89.4476667,6.49,nm60067023,2018-10-22T14:07:21.350Z,1.21,36.2685,-89.4486667,6.61,0.86,1,20.1006019339664,99.9999999999998,10.4463797135103,0.794349342286924,10.4013727760073,0,0,0,0,0,0
